ZONEID,TIMESTAMP,U10,V10,U100,V100
1,2013-06-30 01:00:00,4.51924843795642,-1.55963688610678,6.91362602035157,-2.29368687210105
1,2013-06-30 02:00:00,4.8105283485161,-1.128185962242,6.98961699419143,-1.62882531765221
1,2013-06-30 03:00:00,4.56078748607101,-0.83109231477087,6.59050473662914,-1.12101767370309
1,2013-06-30 04:00:00,4.87587636323297,-0.787636826036287,7.08859683406687,-1.173368977203
1,2013-06-30 05:00:00,4.95642159067469,-0.79384475299837,7.31401543713805,-1.15085791669804
1,2013-06-30 06:00:00,3.92402427289967,-1.41286375578896,6.24056310919853,-2.05967654545646
1,2013-06-30 07:00:00,2.93316600323924,-1.50775635363794,5.82420920210956,-2.57376634582556
1,2013-06-30 08:00:00,2.96254728117396,-1.38359781439628,6.36891761123056,-2.60622415399551
1,2013-06-30 09:00:00,2.85920623464495,-1.62615038927196,6.26419055484622,-2.91247927946997
1,2013-06-30 10:00:00,2.74269427042108,-1.88156224142624,5.91169460896721,-3.25538031739438
1,2013-06-30 11:00:00,2.7715689745983,-2.09484887490924,5.89381437982842,-3.60456351173877
1,2013-06-30 12:00:00,3.13984809629724,-2.24827335554359,6.15690918001348,-3.73491825745354
1,2013-06-30 13:00:00,3.39110868001482,-2.23452723155612,6.4813076229601,-3.65377373702868
1,2013-06-30 14:00:00,3.42707541679697,-2.2664537130754,6.45512585886402,-3.63545078080371
1,2013-06-30 15:00:00,3.50052861163376,-2.28773803408826,6.4883319986932,-3.61660431154375
1,2013-06-30 16:00:00,3.70214496711681,-2.20703498358118,6.79995884939783,-3.45955040104402
1,2013-06-30 17:00:00,3.76344039177372,-2.07400797725082,7.01132870100281,-3.17685336214451
1,2013-06-30 18:00:00,3.85968940569779,-2.21058237041665,7.09115115251527,-3.38102344579416
1,2013-06-30 19:00:00,3.99697089397896,-2.12189769952975,7.397030786711,-3.38259398489915
1,2013-06-30 20:00:00,4.05573344984839,-1.92767827028743,7.35169163425193,-2.96797166117988
1,2013-06-30 21:00:00,3.75229576910883,-1.79908549750142,7.08476535639427,-2.70569163064533
1,2013-06-30 22:00:00,3.25028117543118,-1.99374835009817,6.42447403748323,-3.21559332673444
1,2013-06-30 23:00:00,3.43670031818937,-2.71032049086435,6.64542258326971,-4.20974458019771
1,2013-07-01 00:00:00,3.77711788322609,-2.59059618516703,6.90277016694587,-3.92076538487822
1,2013-07-01 01:00:00,5.89600266624876,-1.52012787997716,9.46100057857152,-2.10652971981504
1,2013-07-01 02:00:00,5.88643507510476,-0.900036511230492,9.01978909380132,-1.27609248080767
1,2013-07-01 03:00:00,5.89959051292775,-0.6936701037116,8.68579508522528,-1.14781355770897
1,2013-07-01 04:00:00,5.8075024481668,-0.680772203241669,8.62948662650461,-1.11773859487722
1,2013-07-01 05:00:00,4.93625367961671,-0.752702802016283,7.65295910951323,-1.13001408991059
1,2013-07-01 06:00:00,4.06739680885263,-0.974447475480092,6.89935138115574,-1.28898175059271
1,2013-07-01 07:00:00,2.99463065183214,-1.08655999494949,6.53373207384617,-1.79350459646415
1,2013-07-01 08:00:00,3.03170506751512,-1.51219071045721,6.3447516301946,-2.58650157561975
1,2013-07-01 09:00:00,3.19555006585604,-1.73790396868099,6.77207883747203,-3.09900349326287
1,2013-07-01 10:00:00,3.41141884104244,-1.92839603715997,6.84458561993427,-3.33039657464187
1,2013-07-01 11:00:00,3.41381073882844,-1.92343530621,6.77979232496801,-3.3064593593268
1,2013-07-01 12:00:00,3.47600008126441,-2.10648627826401,6.57384220882528,-3.45376529972722
1,2013-07-01 13:00:00,3.55732460598837,-2.39520081955246,6.45659719888635,-3.80914088094323
