DATE,ZONEID,TARGETVAR_OBSERVED,TARGETVAR_PREDICTED
2013-07-01,Wind Farm 1,0.7297951158311741,0.4892156101796427
2013-07-01,Wind Farm 10,0.18107620751456402,0.25503181291412386
2013-07-01,Wind Farm 2,0.385629305061231,0.2966365313129366
2013-07-01,Wind Farm 3,0.24285085920287272,0.2904178816338982
2013-07-01,Wind Farm 4,0.1375236294896032,0.18254113838633243
2013-07-01,Wind Farm 5,0.29139483962953633,0.2671090716020507
2013-07-01,Wind Farm 6,0.41279696135317073,0.4180921900789408
2013-07-01,Wind Farm 7,0.8467175748240504,0.5531269667936939
2013-07-01,Wind Farm 8,0.9138728663940702,0.6001150346992973
2013-07-01,Wind Farm 9,0.6428102252659684,0.45289979709962075
2013-07-02,Wind Farm 1,0.5900017104475241,0.4660561377537428
2013-07-02,Wind Farm 10,0.3610966323567188,0.4934147778738453
2013-07-02,Wind Farm 2,0.39496047825647485,0.4000163109305294
2013-07-02,Wind Farm 3,0.35836137408509566,0.4210773194897898
2013-07-02,Wind Farm 4,0.2954473850031506,0.30052926175606975
2013-07-02,Wind Farm 5,0.3627909972083437,0.3519417195583075
2013-07-02,Wind Farm 6,0.3667391467051128,0.38939699554372026
2013-07-02,Wind Farm 7,0.675310220034275,0.5334354549208913
2013-07-02,Wind Farm 8,0.679658823246749,0.5636266568284561
2013-07-02,Wind Farm 9,0.5318839643364773,0.43333099924487173
2013-07-03,Wind Farm 1,0.7516289038513203,0.6608692071095251
2013-07-03,Wind Farm 10,0.8626807106011891,0.8856874114775001
2013-07-03,Wind Farm 2,0.72419717151489,0.6400861353885713
2013-07-03,Wind Farm 3,0.7842985087127855,0.7714300023967736
2013-07-03,Wind Farm 4,0.8618725057760973,0.887925522492618
2013-07-03,Wind Farm 5,0.9406027970477933,0.8782813778796988
2013-07-03,Wind Farm 6,0.8725419813048768,0.915177696552901
2013-07-03,Wind Farm 7,0.7414442785829217,0.5564541009150615
2013-07-03,Wind Farm 8,0.4644155426829731,0.584430694846796
2013-07-03,Wind Farm 9,0.7484978679415941,0.7225211182120853
2013-07-04,Wind Farm 1,0.7923088256256413,0.7811302930746726
2013-07-04,Wind Farm 10,0.8031477705968374,0.8430705786505946
2013-07-04,Wind Farm 2,0.6375787184560925,0.5367029968628642
2013-07-04,Wind Farm 3,0.8003586386553895,0.7328652311152676
2013-07-04,Wind Farm 4,0.9606240810754042,0.9144838401288453
2013-07-04,Wind Farm 5,0.9623115182775598,0.8301468284334487
2013-07-04,Wind Farm 6,0.7698847409823409,0.9213612328792274
2013-07-04,Wind Farm 7,0.7171543906231196,0.7489161562173489
2013-07-04,Wind Farm 8,0.6886119804904296,0.7324695122484367
2013-07-04,Wind Farm 9,0.8035598914588443,0.6953464398156042
2013-07-05,Wind Farm 1,0.9098612123459774,0.6731508439160012
2013-07-05,Wind Farm 10,0.6518104066559222,0.6303445034108445
2013-07-05,Wind Farm 2,0.3871606175709696,0.42455708503492134
2013-07-05,Wind Farm 3,0.5257520018788123,0.5943227031352661
2013-07-05,Wind Farm 4,0.5727591367359798,0.5187690921967218
2013-07-05,Wind Farm 5,0.7423177036531156,0.6544530594200327
2013-07-05,Wind Farm 6,0.7491599799892068,0.772244263420513
2013-07-05,Wind Farm 7,0.687216888916601,0.6893683497369093
2013-07-05,Wind Farm 8,0.8156996660179767,0.7249566984042143
2013-07-05,Wind Farm 9,0.7432861696170905,0.6950310827045834
2013-07-06,Wind Farm 1,0.13179613525302272,0.22627436776327206
2013-07-06,Wind Farm 10,0.313426514678172,0.3390825922541692
2013-07-06,Wind Farm 2,0.38872176732303515,0.33569103919454174
2013-07-06,Wind Farm 3,0.1490750608399694,0.16600642085926853
2013-07-06,Wind Farm 4,0.5419029615626972,0.4556744982091629
2013-07-06,Wind Farm 5,0.5273568078070519,0.6058534137553525
2013-07-06,Wind Farm 6,0.666413085010419,0.6764003526656585
2013-07-06,Wind Farm 7,0.13213000016563975,0.1460920453213122
2013-07-06,Wind Farm 8,0.15827147537892647,0.1452823544389434
2013-07-06,Wind Farm 9,0.2701899470215789,0.16247875127262143
2013-07-07,Wind Farm 1,0.03239386498220877,0.12535694966447095
2013-07-07,Wind Farm 10,0.046993333279870105,0.10098998412015275
2013-07-07,Wind Farm 2,0.03693035300019767,0.05027718916522388
2013-07-07,Wind Farm 3,0.07768669146028241,0.09177330766204776
2013-07-07,Wind Farm 4,0.18832046838899397,0.15603296136102066
2013-07-07,Wind Farm 5,0.20044585624767863,0.18176152901957174
2013-07-07,Wind Farm 6,0.26567331592236765,0.19200050703567864
2013-07-07,Wind Farm 7,0.035675692491231085,0.10644562268679209
2013-07-07,Wind Farm 8,0.0475814096713012,0.11525581974198408
2013-07-07,Wind Farm 9,0.12783197656889342,0.12956810246236403
2013-07-08,Wind Farm 1,0.021462043062218664,0.02634447890854445
2013-07-08,Wind Farm 10,0.279034949738113,0.4138075781880029
2013-07-08,Wind Farm 2,0.07842554304537448,0.1268844373645163
2013-07-08,Wind Farm 3,0.0022270060091272663,0.06376988230968406
2013-07-08,Wind Farm 4,0.08131169922285235,0.11902882577664776
2013-07-08,Wind Farm 5,0.1818403064831123,0.25689065218150536
2013-07-08,Wind Farm 6,0.16891049503078445,0.25881243286461103
2013-07-08,Wind Farm 7,0.019287714481062885,0.01764254875725719
2013-07-08,Wind Farm 8,0.021113415643794337,0.024705918352744573
2013-07-08,Wind Farm 9,0.009238919757074538,0.011863915391985379
2013-07-09,Wind Farm 1,0.1717804078800329,0.15719556218553224
2013-07-09,Wind Farm 10,0.3087197830990355,0.3870834311277676
2013-07-09,Wind Farm 2,0.32577954267215586,0.3185375864570054
2013-07-09,Wind Farm 3,0.05744520917719995,0.15782569973561825
2013-07-09,Wind Farm 4,0.24333779668136946,0.209395615067586
2013-07-09,Wind Farm 5,0.4275367528126233,0.354087543673129
2013-07-09,Wind Farm 6,0.2777792549524743,0.30483496627210127
2013-07-09,Wind Farm 7,0.15368229557364002,0.1889231172792263
2013-07-09,Wind Farm 8,0.17827088078580913,0.17447521802796773
2013-07-09,Wind Farm 9,0.07233751130637028,0.1130793429414579
2013-07-10,Wind Farm 1,0.17023384066230562,0.17134302764180145
